"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1476","06037113101",0.4248,0.4829,0.2361,0.1992,0.328,2020,"CA"
"1477","06037113102",0.1446,0.3019,0.1993,0.0869,0.0963,2020,"CA"
"1478","06037113211",0.1467,0.1184,0.2567,0.5248,0.2041,2020,"CA"
"1479","06037113212",0.3752,0.7108,0.5298,0.6759,0.5575,2020,"CA"
"1480","06037113213",0.1072,0.4014,0.5419,0.8219,0.4044,2020,"CA"
"1481","06037113231",0.3119,0.2003,0.2149,0.1969,0.1999,2020,"CA"
"1482","06037113232",0.225,0.2769,0.2768,0.3327,0.2401,2020,"CA"
"1483","06037113234",0.7852,0.7885,0.6365,0.998,0.9517,2020,"CA"
"1484","06037113235",0.389,0.2062,0.3359,0.3722,0.3177,2020,"CA"
"1485","06037113237",0.3131,0.4018,0.4616,0.5982,0.4238,2020,"CA"
"1486","06037113238",0.6726,0.1111,0.7564,0.5119,0.5254,2020,"CA"
"1487","06037113239",0.829,0.5972,0.7015,0.8805,0.8453,2020,"CA"
"1488","06037113301",0.3562,0.8028,0.2768,0.9208,0.6427,2020,"CA"
"1489","06037113303",0.3985,0.5424,0.3511,0.8104,0.5554,2020,"CA"
"1490","06037113322",0.2536,0.7579,0.4242,0.6036,0.4744,2020,"CA"
"1491","06037113323",0.6512,0.1677,0.4783,0.5457,0.5128,2020,"CA"
"1492","06037113324",0.3457,0.4602,0.758,0.4672,0.4514,2020,"CA"
"1493","06037113423",0.4033,0.2663,0.613,0.2001,0.3151,2020,"CA"
"1494","06037113424",0.5281,0.8554,0.5772,0.8135,0.7152,2020,"CA"
"1495","06037113425",0.8398,0.6551,0.6892,0.568,0.7587,2020,"CA"
"1496","06037113426",0.732,0.7966,0.5213,0.5222,0.7036,2020,"CA"
"1497","06037113427",0.6686,0.627,0.5888,0.6905,0.69,2020,"CA"
"1498","06037113428",0.4877,0.1258,0.3119,0.6222,0.4138,2020,"CA"
"1499","06037115101",0.3154,0.4939,0.3226,0.2076,0.2938,2020,"CA"
"1500","06037115103",0.7514,0.0036,0.5719,0.3792,0.3162,2020,"CA"
"1501","06037115104",0.6605,0.0805,0.5468,0.859,0.5912,2020,"CA"
"1502","06037115202",0.6874,0.1072,0.6177,0.7236,0.58,2020,"CA"
"1503","06037115203",0.5052,0.2867,0.363,0.6642,0.4932,2020,"CA"
"1504","06037115204",0.5491,0.3243,0.3672,0.7643,0.5586,2020,"CA"
"1505","06037115301",0.284,0.6456,0.429,0.9639,0.6207,2020,"CA"
"1506","06037115302",0.8914,0.7728,0.7888,0.7487,0.8703,2020,"CA"
"1507","06037115401",0.7532,0.76,0.5497,0.618,0.7352,2020,"CA"
"1508","06037115403",0.7016,0.4076,0.7828,0.6934,0.6838,2020,"CA"
"1509","06037115404",0.7645,0.234,0.671,0.712,0.6674,2020,"CA"
"1510","06037117101",0.585,0.5709,0.7169,0.4841,0.5946,2020,"CA"
"1511","06037117102",0.7481,0.6789,0.6634,0.424,0.6731,2020,"CA"
"1512","06037117201",0.9305,0.7985,0.8154,0.923,0.95,2020,"CA"
"1513","06037117202",0.6986,0.5727,0.5586,0.726,0.6986,2020,"CA"
"1514","06037117301",0.4711,0.2468,0.4383,0.1059,0.2672,2020,"CA"
"1515","06037117302",0.3505,0.4911,0.4573,0.5711,0.4552,2020,"CA"
"1516","06037117303",0.3263,0.4869,0.5994,0.2227,0.3392,2020,"CA"
"1517","06037117404",0.321,0.4026,0.54,0.428,0.3861,2020,"CA"
